2017-10-02 11:39:09 AM: Generating state machine.
2017-10-02 11:39:09 AM: Generating transition table.
2017-10-02 11:39:09 AM: Beginning to add states to the transition table
2017-10-02 11:39:11 AM: 500000 states parsed.
2017-10-02 11:39:11 AM: 71356 unique states
2017-10-02 11:39:12 AM: 1000000 states parsed.
2017-10-02 11:39:12 AM: 71921 unique states
2017-10-02 11:39:13 AM: 1500000 states parsed.
2017-10-02 11:39:13 AM: 71936 unique states
2017-10-02 11:39:15 AM: 2000000 states parsed.
2017-10-02 11:39:15 AM: 71951 unique states
2017-10-02 11:39:16 AM: 2500000 states parsed.
2017-10-02 11:39:16 AM: 71953 unique states
2017-10-02 11:39:17 AM: 3000000 states parsed.
2017-10-02 11:39:17 AM: 71954 unique states
2017-10-02 11:39:18 AM: 3500000 states parsed.
2017-10-02 11:39:18 AM: 71954 unique states
2017-10-02 11:39:19 AM: 4000000 states parsed.
2017-10-02 11:39:19 AM: 71956 unique states
2017-10-02 11:39:20 AM: 4500000 states parsed.
2017-10-02 11:39:20 AM: 71959 unique states
2017-10-02 11:39:22 AM: 5000000 states parsed.
2017-10-02 11:39:22 AM: 71961 unique states
2017-10-02 11:39:23 AM: 5500000 states parsed.
2017-10-02 11:39:23 AM: 71962 unique states
2017-10-02 11:39:24 AM: 6000000 states parsed.
2017-10-02 11:39:24 AM: 71963 unique states
2017-10-02 11:39:25 AM: 6500000 states parsed.
2017-10-02 11:39:25 AM: 71965 unique states
2017-10-02 11:39:27 AM: 7000000 states parsed.
2017-10-02 11:39:27 AM: 71970 unique states
2017-10-02 11:39:28 AM: 7500000 states parsed.
2017-10-02 11:39:28 AM: 71971 unique states
2017-10-02 11:39:29 AM: 8000000 states parsed.
2017-10-02 11:39:29 AM: 71973 unique states
2017-10-02 11:39:31 AM: 8500000 states parsed.
2017-10-02 11:39:31 AM: 71976 unique states
2017-10-02 11:39:32 AM: 9000000 states parsed.
2017-10-02 11:39:32 AM: 71979 unique states
2017-10-02 11:39:33 AM: 9500000 states parsed.
2017-10-02 11:39:33 AM: 71979 unique states
2017-10-02 11:39:35 AM: 10000000 states parsed.
2017-10-02 11:39:35 AM: 71979 unique states
2017-10-02 11:39:36 AM: 10500000 states parsed.
2017-10-02 11:39:36 AM: 71979 unique states
2017-10-02 11:39:37 AM: 11000000 states parsed.
2017-10-02 11:39:37 AM: 71980 unique states
2017-10-02 11:39:39 AM: 11500000 states parsed.
2017-10-02 11:39:39 AM: 71980 unique states
2017-10-02 11:39:40 AM: 12000000 states parsed.
2017-10-02 11:39:40 AM: 71981 unique states
2017-10-02 11:39:41 AM: 12500000 states parsed.
2017-10-02 11:39:41 AM: 71984 unique states
2017-10-02 11:39:43 AM: 13000000 states parsed.
2017-10-02 11:39:43 AM: 71984 unique states
2017-10-02 11:39:44 AM: 13500000 states parsed.
2017-10-02 11:39:44 AM: 71985 unique states
2017-10-02 11:39:46 AM: 14000000 states parsed.
2017-10-02 11:39:46 AM: 71986 unique states
2017-10-02 11:39:47 AM: 14500000 states parsed.
2017-10-02 11:39:47 AM: 71987 unique states
2017-10-02 11:39:48 AM: 15000000 states parsed.
2017-10-02 11:39:48 AM: 71987 unique states
2017-10-02 11:39:50 AM: 15500000 states parsed.
2017-10-02 11:39:50 AM: 71988 unique states
2017-10-02 11:39:51 AM: 16000000 states parsed.
2017-10-02 11:39:51 AM: 71988 unique states
2017-10-02 11:39:53 AM: 16500000 states parsed.
2017-10-02 11:39:53 AM: 71988 unique states
2017-10-02 11:39:53 AM: Transition table generated.
